#Longitude	Latitude
0.0000	-69.371
0.039800	-69.378
3.2213	-70.100
5.8503	-70.181
7.9082	-69.994
10.084	-70.027
12.889	-69.842
15.092	-69.459
18.372	-69.990
21.020	-70.237
24.866	-70.242
27.507	-70.053
30.000	-69.344
	
30.000	-69.344
30.368	-69.239
33.014	-69.335
35.523	-69.408
38.151	-70.132
39.420	-69.220
41.864	-68.489
45.131	-67.745
47.128	-67.822
48.744	-67.447
49.761	-67.320
49.903	-66.672
53.834	-66.034
56.435	-66.568
56.812	-67.183
58.871	-67.398
59.680	-67.541
60.000	-67.561
	
60.000	-67.561
62.314	-67.706
67.124	-67.960
70.764	-68.687
73.455	-68.925
74.530	-69.752
77.580	-69.238
81.291	-67.895
81.741	-65.861
84.921	-66.662
89.545	-66.921
90.000	-66.893
	
90.000	-66.893
94.307	-66.628
	
94.300	-66.635
97.317	-65.450
101.04	-65.461
103.31	-65.291
104.13	-65.917
108.07	-66.598
109.96	-66.652
112.12	-65.897
114.86	-66.545
117.73	-66.973
120.00	-66.678
	
120.00	-66.678
121.66	-66.462
122.53	-66.600
123.29	-66.456
126.93	-66.581
129.54	-66.620
132.14	-66.192
135.23	-65.108
135.90	-66.190
141.37	-66.814
144.46	-67.146
146.44	-67.867
148.64	-68.429
149.87	-68.501
150.00	-68.506
	
150.00	-68.506
154.41	-68.685
157.13	-69.088
160.29	-70.019
162.85	-70.825
166.31	-70.759
169.60	-71.681
169.69	-72.142
167.62	-73.491
165.44	-74.666
162.70	-75.533
162.67	-76.576
163.45	-77.601
165.86	-77.482
168.67	-77.441
176.49	-77.951
180.00	-78.150
	
164.14	-67.548
164.19	-67.522
	
169.61	-73.339
	
180.00	-78.150
186.37	-78.509
196.52	-78.201
202.65	-77.173
209.46	-76.772
210.00	-76.662
	
210.00	-76.662
213.36	-75.977
224.68	-74.737
	
214.20	-75.335
214.07	-75.350
214.20	-75.335
	
224.68	-74.738
231.59	-74.097
239.86	-73.915
240.00	-73.921
	
255.10	-73.308
255.21	-73.418
255.10	-73.308
	
269.51	-68.805
269.26	-68.810
269.51	-68.805
	
240.00	-73.921
245.26	-74.136
248.53	-74.232
252.79	-74.871
254.78	-74.879
258.11	-74.653
258.86	-73.752
256.73	-73.291
257.00	-72.669
259.29	-72.062
261.36	-72.271
262.20	-72.239
263.42	-72.252
264.46	-72.727
267.11	-72.744
270.00	-72.641
	
299.28	-67.041
299.62	-69.173
299.66	-71.358
299.54	-72.694
299.42	-74.145
300.00	-74.944
	
298.88	-62.763
299.50	-62.610
299.44	-62.728
298.88	-62.763
	
297.31	-64.567
297.91	-64.192
297.31	-64.567
	
295.70	-64.755
296.75	-64.394
296.86	-64.662
295.70	-64.755
	
293.75	-65.941
294.36	-65.631
293.75	-65.941
	
290.92	-67.825
291.13	-67.262
291.97	-67.130
291.51	-67.700
290.92	-67.825
	
285.06	-70.045
283.96	-69.758
285.43	-69.927
285.06	-70.045
	
270.00	-72.641
272.24	-72.562
278.28	-73.032
281.73	-73.180
283.13	-72.588
284.20	-72.940
286.81	-73.315
287.78	-72.868
286.39	-72.204
285.66	-71.369
284.59	-70.887
285.39	-70.094
287.30	-69.750
288.21	-69.570
289.65	-68.920
290.45	-69.530
291.26	-69.466
292.89	-68.650
293.32	-67.875
292.95	-67.650
292.74	-67.101
293.68	-67.334
294.41	-66.243
295.15	-66.044
295.73	-65.720
295.95	-65.196
297.53	-64.717
298.90	-64.400
300.00	-64.014
	
300.00	-66.196
299.28	-67.041
	
328.02	-77.116
330.00	-76.666
	
300.00	-74.944
300.37	-75.449
307.64	-76.897
310.97	-77.690
317.58	-77.818
326.03	-77.422
328.02	-77.116
	
314.00	-77.680
314.12	-77.698
313.91	-77.724
	
314.30	-60.548
314.94	-60.764
314.03	-60.634
314.30	-60.548
	
305.35	-61.145
304.87	-61.103
305.35	-61.145
	
301.06	-62.274
301.89	-62.012
301.40	-62.301
301.06	-62.274
	
301.68	-64.449
301.66	-64.110
302.55	-64.357
301.68	-64.449
	
300.00	-64.014
300.77	-63.743
303.07	-63.495
301.87	-63.781
300.74	-65.320
300.00	-66.196
	
302.72	-64.636
302.80	-64.597
	
302.26	-63.936
	
330.00	-76.666
331.58	-76.307
334.55	-75.354
337.56	-74.214
340.23	-73.315
342.50	-72.688
345.86	-72.020
347.70	-71.651
350.11	-70.780
352.63	-70.519
355.69	-70.407
358.58	-69.984
358.77	-69.153
360.00	-69.371
	
30.000	-31.003
29.454	-31.650
27.635	-33.275
25.761	-33.791
24.327	-34.167
22.354	-34.066
21.064	-34.432
19.862	-34.742
19.024	-34.423
18.418	-34.414
17.944	-33.219
18.230	-32.232
17.183	-30.303
17.044	-30.000
	
3.4117	-54.484
	
30.845	-30.000
30.000	-31.003
	
37.613	-46.880
	
70.028	-49.164
69.581	-49.164
69.190	-49.054
68.966	-48.686
69.245	-49.201
69.581	-49.529
70.363	-49.548
70.643	-49.109
70.056	-49.146
	
120.00	-33.944
119.79	-33.958
118.46	-34.752
117.13	-34.997
115.84	-34.579
115.07	-33.553
	
115.07	-33.553
115.64	-32.552
115.35	-30.896
115.07	-30.000
	
150.00	-37.507
